Step,Variation,Type,Title,Text,Followers,Views,Engagement,Income,Subscribers,CostName,CostVal,Explanation
2,hook_retention_b,Choice,Caption + audio polish,A minimal pro upgrade: audio leveling + captions + a tighter opening cut. Keep it repeatable.,0.057000,0.400000,4,0.002400,0.000800,Caption + Audio Polish,-120,Worth it if viewers complain about clarity/audio. Keep it minimal so it doesn’t slow you down.
2,hook_retention_b,Choice,"Film tighter, say the payoff first",You re-shoot with a tighter frame and state the payoff immediately. You trade perfection for clarity.,0.045000,0.300000,1,0.001600,0.000500,Time & Effort,0,Clarity-first usually beats fancy production at this stage. Great when you can iterate quickly.
2,hook_retention_c,Question,Your Best Ideas Are Hidden,"People would love your point—if they reached it. Are you starting with the value, or making viewers wait?",0.000000,0.000000,,0.000000,0.000000,,,
2,hook_retention_c,Choice,Template edit pack,A pro editor restructures three videos into reusable templates you can follow later. This is a systems play.,0.060000,0.430000,4,0.002400,0.000800,Template Edit Pack,-260,High leverage if you reuse the structure for weeks. Wasteful if you go back to random edits.
2,hook_retention_c,Choice,"Conclusion first, explanation after","You flip the structure: conclusion first, then the ‘how/why’. No cost, faster learning.",0.045000,0.300000,2,0.001600,0.000500,Time & Effort,0,Maximizes learning speed and makes content instantly understandable—especially in short-form.
3,series_system_a,Question,Random vs Repeatable,Your posts perform inconsistently. Do you have a series people recognize—or are you reinventing every post?,0.000000,0.000000,,0.000000,0.000000,,,
3,series_system_a,Choice,Run one controlled experiment,"You keep one constant (format) and test one variable (hook, length, topic) per week. Cleaner learning, less chaos.",0.050000,0.320000,3,0.002400,0.000700,Time & Effort,0,Faster learning without confusing the audience. Great if you’re unsure what’s driving results.
3,series_system_a,Choice,Launch a weekly series,"You name the series, define a repeatable structure, and commit to one format for 4 weeks. Recognition beats novelty.",0.054000,0.320000,1,0.002600,0.000800,Time & Effort,0,Reduces volatility and builds return viewers. This is a strategic unlock with zero spend.
3,series_system_b,Question,The Signature Question,"If someone saw three of your posts, would they describe a clear signature—or just ‘random creator stuff’?",0.000000,0.000000,,0.000000,0.000000,,,
3,series_system_b,Choice,Build a simple format checklist,You create a one-page checklist: hook → proof → payoff → CTA. You use it every post for 2 weeks.,0.046000,0.290000,3,0.002400,0.000700,Time & Effort,0,Reduces cognitive load and improves clarity. Best when you’re inconsistent under time pressure.
3,series_system_b,Choice,Pick one signature angle,"Same promise, same framing, same cadence. You trade novelty for recognizability.",0.054000,0.320000,1,0.002600,0.000800,Time & Effort,0,Recognizability is a growth accelerant. Consistency often matters more than ‘better’ production.
3,series_system_c,Question,Experimentation Without Chaos,"You want to experiment, but your page feels inconsistent. How do you test without losing trust?",0.000000,0.000000,,0.000000,0.000000,,,
3,series_system_c,Choice,Double down on what already works,"You pick your top-performing topic and publish 4 variations of it. Less novelty, more leverage.",0.054000,0.320000,3,0.002800,0.000900,Time & Effort,0,Best when you already have one clear winner. You’re buying momentum with focus.
3,series_system_c,Choice,"Keep one constant, test one variable","You lock your format and test only one change per week. Small experiments, clean signals.",0.050000,0.320000,1,0.002400,0.000700,Time & Effort,0,Lets you learn quickly while keeping your audience oriented.
4,spike_window_a,Question,The 48‑Hour Window,A post is starting to pop. The next 48 hours decide whether you convert the spike into followers—or let it leak.,0.000000,0.000000,,0.000000,0.000000,,,
4,spike_window_a,Choice,Rapid follow‑up cut (ship tonight),"You keep your voice and footage, but a pro tightens the follow-up so the hook and pacing land fast—without delaying release.",0.070000,0.500000,4,0.006000,0.001300,Rapid Edit,-180,Best when editing speed is your bottleneck. Wasteful if it delays posting.
4,spike_window_a,Choice,Fast follow‑up + pin the path,You post a follow-up within 24 hours and pin a comment guiding new viewers to your best content. Speed wins.,0.060000,0.420000,1,0.004000,0.001000,Time & Effort,0,"You capture momentum without spending money, but only if you execute fast."
4,spike_window_b,Question,The Wave Problem,"You’ve seen it before: one video spikes, then nothing. Are you set up to ride the wave with a clean next step?",0.000000,0.000000,,0.000000,0.000000,,,
4,spike_window_b,Choice,Follow‑up + recap pack,A pro helps you ship a tighter follow-up and a recap reel that new viewers can binge. Only worth it if it stays fast.,0.073000,0.530000,4,0.006000,0.001300,Follow‑Up Pack,-260,Strong if spikes happen repeatedly and you want a reusable system. Don’t do it if it slows you down.
4,spike_window_b,Choice,Three‑part follow chain,You publish Part 2 and Part 3 quickly and link them via pinned comments + captions so new viewers binge the chain.,0.060000,0.450000,1,0.004000,0.001000,Time & Effort,0,"Chains convert attention into identity. Pure strategy, no spend."
4,spike_window_c,Question,When Comments Demand Part 2,Your comments are asking for ‘Part 2’. This is a rare signal. Do you respond with speed or polish?,0.000000,0.000000,,0.000000,0.000000,,,
4,spike_window_c,Choice,Polish the continuation (but ship fast),"You keep it fast, but polish captions/audio and tighten pacing so the continuation holds attention and converts better.",0.072000,0.540000,4,0.006000,0.001300,Polish Pass,-140,Worth it if it doesn’t reduce speed. Speed is still the priority in a spike.
4,spike_window_c,Choice,Video replies today,You reply to top comments with quick video replies to keep the thread alive and learn what people want next.,0.060000,0.450000,2,0.004000,0.001000,Time & Effort,0,Comment replies are one of the cheapest momentum engines. Great for early growth.
5,brand_ready_a,Question,Brand‑Ready Signal,A brand checks your page. Do your visuals look consistent and reusable—or do they feel risky and random?,0.000000,0.000000,,0.000000,0.000000,,,
5,brand_ready_a,Choice,Brand-safe asset pack,You create a clean portrait set plus one sample reel that shows how you deliver. Not corporate—dependable.,0.063000,0.430000,3,0.045000,0.001000,Brand Asset Pack,-450,Unlocks better deals when you’re close to deal-ready. The value is trust + reuse.
5,brand_ready_a,Choice,Proof-first pitch,"You prepare a lean one-page pitch with screenshots, niche clarity, and a few solid DIY photos. You lead with results.",0.050000,0.340000,1,0.025000,0.000600,Time & Effort,0,Great if your niche is clear and numbers are strong. You may still lose deals that require polish.
5,brand_ready_b,Question,Would You Hire You?,"If you were a brand manager, would you trust this profile to represent the brand’s image tomorrow?",0.000000,0.000000,,0.000000,0.000000,,,
5,brand_ready_b,Choice,Spec sample + BTS proof,You produce a short ‘spec’ sample and a BTS clip that shows how you work. Strong signal for brand trust.,0.060000,0.400000,3,0.045000,0.001000,Spec Sample Shoot,-600,Best if you’ll actively pitch and close deals. Not worth it if you won’t use it to sell.
5,brand_ready_b,Choice,Clarify positioning + clean the feed,"You remove confusing posts, tighten your promise, and standardize a simple look using what you already have.",0.050000,0.340000,1,0.020000,0.000500,Time & Effort,0,Often the right first step. Brands care about clarity and reliability before camera gear.
5,brand_ready_c,Question,Reusability Check,Brands don’t just want one post. They want assets they can reuse. Does your content look reusable across placements?,0.000000,0.000000,,0.000000,0.000000,,,
5,brand_ready_c,Choice,Reuse-first production day,A short pro session produces multiple reuse-friendly clips + hero images to reduce friction on future deals.,0.060000,0.400000,3,0.050000,0.001000,Reuse‑First Session,-500,Best when inbound interest exists and you want to convert it into better-paying repeat work.
5,brand_ready_c,Choice,Shoot with reuse in mind,"You plan clean frames, consistent light, and space for text using a basic setup. Reuse-friendly without spending.",0.050000,0.340000,1,0.020000,0.000500,Time & Effort,0,"Smart craft without spending. The key is planning for reuse, not buying more gear."
6,premium_tier_a,Question,Subscriptions = Expectations,"Fans want behind-the-scenes and ‘more personal’ content. If you charge, expectations rise. Can you deliver reliably?",0.000000,0.000000,,0.000000,0.000000,,,
6,premium_tier_a,Choice,Premium monthly drop,"You create a reliable monthly drop (photos + reels). Higher perceived value, but only works if subs cover production cost.",0.050000,0.280000,2,0.040000,0.008000,Monthly Premium Pack,-320,Best when demand already exists. The model works when unit economics stay positive over time.
6,premium_tier_a,Choice,Low-pressure tier,"You launch a simple tier with flexible perks. Lower income, higher sustainability, less burnout risk.",0.040000,0.240000,1,0.020000,0.004500,Time & Effort,0,Best when you’re still finding your voice. Sustainable beats impressive for long-term growth.
6,premium_tier_b,Question,The Paid Tier Reality,A paid tier isn’t just money—it’s a promise. Are you building a repeatable delivery system or improvising every month?,0.000000,0.000000,,0.000000,0.000000,,,
6,premium_tier_b,Choice,Baseline premium shoot + DIY cadence,"One pro session sets a premium baseline, then you deliver lighter DIY updates weekly to stay sustainable.",0.046000,0.250000,2,0.034000,0.007000,Baseline Premium Shoot,-220,Balanced approach: premium perception without paying every month. Works if you keep the cadence.
6,premium_tier_b,Choice,Start tiny and learn,"You launch with a small, clear promise (e.g., 2 BTS drops/month) and measure what fans actually want.",0.036000,0.210000,1,0.018000,0.004000,Time & Effort,0,Protects consistency and lets you learn demand without overcommitting.
6,premium_tier_c,Question,Launch Moment,You’re launching something (tier/product/service). Do you treat it like a real campaign or a casual post?,0.000000,0.000000,,0.000000,0.000000,,,
6,premium_tier_c,Choice,Mini-campaign assets,You produce a small campaign set: one hero reel + key photos for reuse. Stronger conversion—if the offer is solid.,0.050000,0.280000,3,0.038000,0.007500,Launch Mini‑Campaign,-450,Best when you already know the offer converts. Assets amplify what’s already working.
6,premium_tier_c,Choice,Simple authentic launch,"You launch with a raw story and a clear offer. Lower production, high trust—if your message is clear.",0.036000,0.210000,1,0.018000,0.004000,Time & Effort,0,Authentic launches can win when the story is strong and the offer is clear.
7,manager_system_a,Question,Growth Feels Random Now,"You’re doing ‘everything right’… but results feel unpredictable. Do you keep guessing, or build a feedback loop?",0.000000,0.000000,,0.000000,0.000000,,,
7,manager_system_a,Choice,Coach + experiments system,"You use a manager/AI tool to suggest experiments, alert you in the first hour, and store learnings so you stop repeating mistakes.",0.061000,0.430000,4,0.020000,0.002000,AI Manager (Creator Plan),-19,"Best when time and uncertainty are your bottlenecks. The value is faster iteration, not magic predictions."
7,manager_system_a,Choice,Weekly manual review,"You track 3 metrics weekly (views, retention proxy, follows) and change one thing at a time. Slow, but honest learning.",0.041000,0.270000,1,0.012000,0.001200,Time & Effort,0,"Great if you’re disciplined. Learning is slower, but you keep full control and cost stays zero."
7,manager_system_b,Question,Your Time Is the Constraint,You can either spend hours guessing what to post… or spend those hours creating. Where do you want the ‘thinking’ to happen?,0.000000,0.000000,,0.000000,0.000000,,,
7,manager_system_b,Choice,Guided scheduling + alerts,"A manager/AI tool suggests windows, flags early underperformance, and recommends quick fixes so you waste less time.",0.058000,0.400000,4,0.020000,0.002000,AI Manager (Pro Plan),-49,Best when you already post consistently and want smarter timing/iteration without extra hours.
7,manager_system_b,Choice,Simple rules + repeat,"You pick two posting windows, one format, and repeat for 3 weeks. Less thinking, stable output.",0.041000,0.270000,1,0.012000,0.001200,Time & Effort,0,"Works when you need simplicity. Not optimal, but it protects your energy and keeps you consistent."
7,manager_system_c,Question,Plateau After the First Wins,"You grew fast early… then plateaued. Do you double down blindly, or diagnose what actually drives your account?",0.000000,0.000000,,0.000000,0.000000,,,
7,manager_system_c,Choice,Diagnose with an experiment engine,"A manager/AI tool proposes A/B-style tests, tracks uplift over fixed windows, and stores learnings so growth becomes less random.",0.061000,0.430000,4,0.020000,0.002000,AI Manager (Growth Plan),-149,"Best when you want repeatable learning. It’s a tool for discipline and feedback loops, not a miracle."
7,manager_system_c,Choice,Diagnose manually,"You review your top 10 posts and replicate the common pattern (topic, hook, length). It’s slower but teaches you.",0.041000,0.270000,1,0.012000,0.001200,Time & Effort,0,Strong learning approach if you’ll actually do the review and stick to the pattern for multiple posts.
