page,address,status,tag,id,en,es
project,,deleted,unknown,sound_on,Sound On,Sonido Activado
project,,deleted,unknown,sound_off,Sound Off,Sonido Desactivado
about,,deleted,unknown,about_approach_color_text,"Rich, cinematic tones with natural light whenever possible.",Tonos cinematogr?ficos ricos con luz natural siempre que sea posible.
about,,deleted,unknown,about_approach_story_text,Honest storytelling that balances iconic moments and subtle details.,Narrativa honesta que equilibra momentos ic?nicos y detalles sutiles.
about,,deleted,unknown,about_approach_collab_text,We plan with you so expectations aren't just met?they're exceeded.,Planificamos contigo para que las expectativas no solo se cumplan?se superen.
about,,deleted,unknown,about_approach_global_text,Based in CDMX; we happily travel.,Con base en CDMX; viajamos con gusto.
about,,deleted,unknown,about_offer_portraits_text,"Editorial portraits for individuals, couples, and teams.","Retratos editoriales para individuos, parejas y equipos."
about,,deleted,unknown,about_offer_projects_text,Brand films and visual stories with cinematic polish.,Pel?culas de marca e historias visuales con acabado cinematogr?fico.
contact,,deleted,unknown,contact_intro,"Ready to book, ask a question, or share a concept? Reach us anytime by email or WhatsApp.","?Listo para reservar, hacer una pregunta o compartir un concepto? Cont?ctanos en cualquier momento por correo electr?nico o WhatsApp."
contact,,deleted,unknown,contact_email_best,"Best for detailed requests, references, and longer notes.","Mejor para solicitudes detalladas, referencias y notas m?s largas."
contact,,deleted,unknown,contact_whatsapp_best,Best for quick questions and fast coordination.,Mejor para preguntas r?pidas y coordinaci?n r?pida.
contact,,deleted,unknown,contact_type_shoot,"Type of shoot (portraits, fashion, editorial, etc.)","Tipo de sesi?n (retratos, moda, editorial, etc.)"
contact,,deleted,unknown,contact_preferred_date,Preferred date(s) and location,Fecha(s) y ubicaci?n preferidas
contact,,deleted,unknown,contact_moodboard,Any moodboard / references (links are perfect),Cualquier moodboard / referencias (los enlaces son perfectos)
contact,,deleted,unknown,contact_photo_use,How you want to use the photos (personal / brand / campaign),C?mo quieres usar las fotos (personal / marca / campa?a)
contact,,deleted,unknown,contact_reply,We reply as soon as possible?include your timezone if you're traveling.,Respondemos lo antes posible?incluye tu zona horaria si est?s viajando.
index,,deleted,unknown,aria_open_image,Open image,Abrir imagen
index,,deleted,unknown,aria_close,Close,Cerrar
index,,deleted,unknown,aria_previous_image,Previous image,Imagen anterior
index,,deleted,unknown,aria_next_image,Next image,Siguiente imagen
